- Recover from Injury	- 怪我からの回復
nods in agreement.{LF}{LF}”You're right, of course, but that doesn't mean there's nowhere to go. The Orc nation, Tsarath, lies to east of Crest a few leagues. They've little love for the customs of Crest, and I have heard of branded criminals finding refuge there, even human ones. Perhaps it's worth considering.”{LF}{LF}|”In any case, it's just an idea. For now we have to make sure we don't get caught. I think we can both agree on that.”{LF}{LF}You pack up what meager belongings you have and set out.	点头表示同意。{LF}{LF}“你说得对，但这并不意味着无处可去。兽人国家查拉斯位于克雷斯特以东几里格处。他们不太喜欢克雷斯特的习俗，我听说有烙印的罪犯在那里找到了避难所，甚至人类罪犯也是如此。也许值得考虑。”{LF}{LF}|“无论如何，这只是个想法。现在我们必须确保不被抓住。我想我们都能同意这一点。”{LF}{LF}你收拾好微薄的行李出发了。
Nowhere in particular	没有特定目的地
is not a particularly skilled negotiator.	不是特别熟练的谈判者。
Certain high-level utility skills will significantly boost manpower contributions.	某些高级效用技能会显著提升人力贡献。
A mountainous orc with a bald head and a neatly-trimmed beard steps up to the bars and begins quietly undoing the lock.{LF}{LF}”I am called Nazar, friend. I broke into this place looking for someone, but all I found was this key, and I don't like leaving empty-handed. Lucky for you!”{LF}{LF}The door clicks open, and Nazar stands before you, olive-skinned, barrel-chested, and fur-clad.{LF}{LF}”You can thank me later. For now, we have to get out of here, and I can't promise it'll be easy. Can you fight if we need to?”	一名秃顶、胡须修剪整齐的山地兽人走到铁栏前，开始悄悄地开锁。{LF}{LF}“我叫纳扎尔，朋友。我闯进这里是为了找人，结果只找到了这把钥匙，我可不喜欢空手而归。算你走运！”{LF}{LF}门锁咔哒一声打开了，纳扎尔站在你面前，他有着橄榄色的皮肤，胸膛宽阔如桶，身披毛皮。{LF}{LF}“谢我的话可以晚点再说。现在我们必须离开这里，而且我可不敢保证会很容易。如果需要的话，你能战斗吗？”
Negative effects like poison disappear after combat.	中毒等负面效果会在战斗后消失。
Text alerts for combat status, such as poison	战斗状态（如中毒）的文字提示
Escape from your cell	逃离你的牢房
LOADING{LF}{LF}	加载中{LF}{LF}
You are unclean, and cannot be left to infect the rest of your countrymen with your filth. You shall be sequestered for ten years' time.	你是不洁之人，不能让你用污秽感染你的同胞。你将被隔离十年。
You scramble up the sloping chute in the darkness as the water continues to slowly rise behind you.{LF}{LF}The climb is difficult in the dark, but gradually, the sound of water fades further behind, and the stale, dank air gives way to a cool draft.{LF}{LF}A moment of searching reveals a crack of moonlight shining through some loosely piled stones.{LF}{LF}Carefully, you pry some of the stones loose, and manage to make a hole big enough to squeeze through.{LF}{LF}|You have come out at the base of a rough seaside cliff face. The ocean has become calm once again, and the sky is clear and bright, nearly blinding after your trek through the dark tunnels.{LF}{LF}There are several small fires on a rocky beach in the distance, hopefully other survivors of your band.{LF}{LF}You make your way down to the beach and toward them.	当身后的水继续缓慢上涨时，你在黑暗中攀爬着倾斜的滑道。{LF}{LF}在黑暗中攀爬十分困难，但渐渐地，水声在身后越来越远，污浊潮湿的空气被一股凉爽的微风取代。{LF}{LF}摸索片刻后，你发现一缕月光从几块松散的石头缝隙中透出。{LF}{LF}你小心翼翼地撬开几块石头，终于弄出了一个足够挤过去的洞。{LF}{LF}|你来到了一个崎岖的海边悬崖脚下。大海已经再次平静下来，天空晴朗明亮，在经历了黑暗隧道的跋涉后，这光芒几乎令人目眩。{LF}{LF}远处的岩石海滩上有几处小火堆，希望是你队伍中的其他幸存者。{LF}{LF}你向下走到海滩，朝他们走去。
A man with grizzled hair and a dour expression steps up to the bars and begins to unlock the door.{LF}{LF}”I'm Shapiro, a sorcerer. I managed to snag a few keys from guard as he passed by my cell, but there's no telling how long it'll be before they discover something is amiss.”{LF}{LF}The door swings open gently as the lock is undone. Shapiro is dressed in what must have once have been a grand magister's robe, now soiled and tattered, and he looks very tired.{LF}{LF}”We don't have much time, and we'll need some kind of strategy. I can cast some simple spells, but I know nothing of what you can do.”	一个头发花白、表情阴郁的男人走到铁栏前，开始开锁。{LF}{LF}“我是夏皮罗，一名巫师。看守经过我牢房时，我设法偷到了几把钥匙，但说不准他们什么时候会发现不对劲。”{LF}{LF}锁被打开，门轻轻晃开。夏皮罗穿着想必曾是华丽法师长袍的衣服，如今已污损破烂，他看起来非常疲惫。{LF}{LF}“我们时间不多，需要制定个策略。我能施展一些简单的法术，但我不清楚你能做什么。”
A man with grizzled hair and a dour expression steps up to the bars and begins to unlock the door.{LF}{LF}”I'm Shapiro, a sorcerer. I managed to snag a few keys from the guard as he passed by my cell, but there's no telling how long it'll be before they discover something is amiss.”{LF}{LF}The door swings open gently as the lock is undone. Shapiro is dressed in what must have once have been a grand magister's robe, now soiled and tattered, and he looks very tired.{LF}{LF}”We don't have much time, and we'll need some kind of strategy. I can cast some simple spells. What should I expect of you?”	一个头发花白、表情阴郁的男人走到铁栏前，开始开锁。{LF}{LF}“我是夏皮罗，一名巫师。看守经过我牢房时，我设法偷到了几把钥匙，但说不准他们什么时候会发现不对劲。”{LF}{LF}锁被打开，门轻轻晃开。夏皮罗穿着想必曾是华丽法师长袍的衣服，如今已污损破烂，他看起来非常疲惫。{LF}{LF}“我们时间不多，需要制定个策略。我能施展一些简单的法术。我该对你有什么期待？”
A dark-skinned woman with wild hair steps up to the bars and struggles to open the lock.{LF}{LF}”Moria is my name,	一个黑皮肤、头发狂野的女人走到铁栏前，费力地开着锁。{LF}{LF}“我叫莫里亚，
is a shrewd negotiator.	是个精明的谈判者。
You will begin with a different personal skill depending on your crime and your guilt.	根据你所犯罪行和罪责，你将以一个不同的个人技能开始。
says. You leave a crude marker on the beach in case he turns up later, but you fear that	说道。你在海滩上留下了一个粗糙的标记，以防他稍后出现，但你担心
adds. ”We haven't seen it.”{LF}{LF}”It's like the island didn't want to kill us,”	补充道。“我们没看见它。”{LF}{LF}“就好像这个岛不想杀我们似的，”
has been wounded for	已受伤
Wounded party members{LF}{LF}	受伤的队员{LF}{LF}
Allies Injured :	受伤的盟友：
dropped a weapon!	掉落了武器！
Time served :	已服刑时间：
Taking physical damage reduces your risk. {LF}Stacks with 'Advantage'	受到物理伤害会降低你的风险。{LF}与‘优势’效果叠加
Taking physical damage reduces your risk. Stacks with 'Counterstrike'	受到物理伤害会降低你的风险。与‘反击’效果叠加。
Improves your chances of evading physical and magical attacks.	提高你闪避物理和魔法攻击的几率。
Your physical attacks increase your targets' risk.	你的物理攻击会增加目标的风险。
Physical attacks gain Lux.	物理攻击获得力克斯。
Physical attacks gain Max.	物理攻击获得玛克斯。
Physical attacks gain Nix.	物理攻击获得尼克斯。
Physical attacks gain Pox.	物理攻击获得波克斯。
Physical attacks gain Rex.	物理攻击获得雷克斯。
Generates less risk when you make physical or magical attacks.	当你进行物理或魔法攻击时，产生的风险更少。
A variation state for	一个变体状态，用于
scour the place, looking for anything that might prove useful.	仔细搜查这个地方，寻找任何可能派上用场的东西。
If you leave a secured map alone long enough,{LF}it may not still be empty when you return.	如果你将一个已占领的地图闲置太久，{LF}当你返回时，它可能不再是空的了。
Strongholds Held :	占领的要塞：
Proceed without saving	不保存继续
SAVE COMPLETE!	保存完成！
